.1.3.6.1.2.1.1.1.0 Hardware: Intel64 Family 6 Model 85 Stepping 4 AT/AT COMPATIBLE - Software: Windows Version 6.3 (Build 14393 Multiprocessor Free)
.1.3.6.1.2.1.1.2.0 .1.3.6.1.4.1.311.1.1.3.1.2
.1.3.6.1.2.1.2.2.1.10.14 0
.1.3.6.1.2.1.2.2.1.10.15 0
.1.3.6.1.2.1.2.2.1.10.16 3066459521
.1.3.6.1.2.1.2.2.1.10.17 3066459521
.1.3.6.1.2.1.2.2.1.10.18 3464486919
.1.3.6.1.2.1.2.2.1.10.19 3066459521
.1.3.6.1.2.1.2.2.1.10.20 3464486919
.1.3.6.1.2.1.2.2.1.10.21 3066459521
.1.3.6.1.2.1.2.2.1.10.22 0
.1.3.6.1.2.1.2.2.1.10.23 3464486919
.1.3.6.1.2.1.2.2.1.10.24 0
.1.3.6.1.2.1.2.2.1.10.25 3066459521
.1.3.6.1.2.1.2.2.1.10.26 2948039246
.1.3.6.1.2.1.2.2.1.10.27 3464486919
.1.3.6.1.2.1.2.2.1.10.28 0
.1.3.6.1.2.1.2.2.1.10.29 2948039246
.1.3.6.1.2.1.2.2.1.10.30 0
.1.3.6.1.2.1.2.2.1.10.31 2948039246
.1.3.6.1.2.1.2.2.1.10.32 2948039246
.1.3.6.1.2.1.2.2.1.11.1 0
.1.3.6.1.2.1.2.2.1.11.2 0
.1.3.6.1.2.1.2.2.1.11.3 0
.1.3.6.1.2.1.2.2.1.11.4 0
.1.3.6.1.2.1.2.2.1.11.5 0
.1.3.6.1.2.1.2.2.1.11.6 0
.1.3.6.1.2.1.2.2.1.11.7 81359540
.1.3.6.1.2.1.2.2.1.11.8 0
.1.3.6.1.2.1.2.2.1.11.9 0
.1.3.6.1.2.1.2.2.1.11.10 3622043773
.1.3.6.1.2.1.2.2.1.11.11 0
.1.3.6.1.2.1.2.2.1.11.12 0
.1.3.6.1.2.1.2.2.1.11.13 0
.1.3.6.1.2.1.2.2.1.11.14 0
.1.3.6.1.2.1.2.2.1.11.15 0
.1.3.6.1.2.1.2.2.1.11.16 1336716125
.1.3.6.1.2.1.2.2.1.11.17 1336716125
.1.3.6.1.2.1.2.2.1.11.18 81359540
.1.3.6.1.2.1.2.2.1.11.19 1336716125
.1.3.6.1.2.1.2.2.1.11.20 81359540
.1.3.6.1.2.1.2.2.1.11.21 1336716125
.1.3.6.1.2.1.2.2.1.11.22 0
.1.3.6.1.2.1.2.2.1.11.23 81359540
.1.3.6.1.2.1.2.2.1.11.24 0
.1.3.6.1.2.1.2.2.1.11.25 1336716125
.1.3.6.1.2.1.2.2.1.11.26 3622043773
.1.3.6.1.2.1.2.2.1.11.27 81359540
.1.3.6.1.2.1.2.2.1.11.28 0
.1.3.6.1.2.1.2.2.1.11.29 3622043773
.1.3.6.1.2.1.2.2.1.11.30 0
.1.3.6.1.2.1.2.2.1.11.31 3622043773
.1.3.6.1.2.1.2.2.1.11.32 3622043773
.1.3.6.1.2.1.2.2.1.12.1 0
.1.3.6.1.2.1.2.2.1.12.2 0
.1.3.6.1.2.1.2.2.1.12.3 0
.1.3.6.1.2.1.2.2.1.12.4 0
